Loanapp_ID,CPL_Status
CPL001015,N
CPL001022,N
CPL001031,Y
CPL001035,Y
CPL001051,Y
CPL001054,N
CPL001055,Y
CPL001056,N
CPL001059,Y
CPL001067,Y
CPL001078,Y
CPL001082,Y
CPL001083,N
CPL001094,N
CPL001096,Y
CPL001099,Y
CPL001105,Y
CPL001107,Y
CPL001108,N
CPL001115,Y
CPL001121,N
CPL001124,Y
CPL001128,Y
CPL001135,Y
CPL001149,Y
CPL001153,N
CPL001163,Y
CPL001169,Y
CPL001174,Y
CPL001176,Y
CPL001177,Y
CPL001183,Y
CPL001185,Y
CPL001187,N
CPL001190,Y
CPL001203,N
CPL001208,Y
CPL001210,Y
CPL001211,Y
CPL001219,Y
CPL001220,Y
CPL001221,Y
CPL001226,Y
CPL001230,Y
CPL001231,N
CPL001232,Y
CPL001237,N
CPL001242,Y
CPL001268,N
CPL001270,Y
CPL001284,Y
CPL001287,Y
CPL001291,Y
CPL001298,Y
CPL001312,Y
CPL001313,N
CPL001317,N
CPL001321,Y
CPL001323,N
CPL001324,Y
CPL001332,Y
CPL001335,Y
CPL001338,Y
CPL001347,N
CPL001348,Y
CPL001351,Y
CPL001352,N
CPL001358,N
CPL001359,Y
CPL001361,N
CPL001366,Y
CPL001368,Y
CPL001375,N
CPL001380,Y
CPL001386,N
CPL001400,Y
CPL001407,N
CPL001413,Y
CPL001415,Y
CPL001419,N
CPL001420,N
CPL001428,Y
CPL001445,N
CPL001446,Y
CPL001450,N
CPL001452,Y
CPL001455,Y
CPL001466,Y
CPL001471,Y
CPL001472,Y
CPL001475,N
CPL001483,Y
CPL001486,Y
CPL001490,Y
CPL001496,N
CPL001499,Y
CPL001500,Y
CPL001501,Y
CPL001517,Y
CPL001527,Y
CPL001534,Y
CPL001542,N
CPL001547,N
CPL001548,N
CPL001558,Y
CPL001561,Y
CPL001563,N
CPL001567,Y
CPL001568,Y
CPL001573,N
CPL001584,Y
CPL001587,Y
CPL001589,Y
CPL001591,Y
CPL001599,Y
CPL001601,N
CPL001607,N
CPL001611,Y
CPL001613,N
CPL001622,N
CPL001627,Y
CPL001650,Y
CPL001651,N
CPL001652,N
CPL001655,Y
CPL001660,Y
CPL001662,N
CPL001663,N
CPL001667,Y
CPL001695,Y
CPL001703,N
CPL001718,Y
CPL001728,N
CPL001735,Y
CPL001737,Y
CPL001739,Y
CPL001742,Y
CPL001757,N
CPL001769,Y
CPL001771,Y
CPL001785,N
CPL001787,N
CPL001789,N
CPL001791,Y
CPL001794,Y
CPL001797,N
CPL001815,N
CPL001817,N
CPL001818,Y
CPL001822,Y
CPL001827,Y
CPL001831,Y
CPL001842,Y
CPL001853,Y
CPL001855,N
CPL001857,Y
CPL001862,N
CPL001867,Y
CPL001878,Y
CPL001881,N
CPL001886,N
CPL001906,N
CPL001909,Y
CPL001911,Y
CPL001921,Y
CPL001923,N
CPL001933,N
CPL001943,N
CPL001950,N
CPL001959,N
CPL001961,Y
CPL001973,Y
CPL001975,Y
CPL001979,N
CPL001995,N
CPL001999,Y
CPL002007,Y
CPL002009,Y
CPL002016,Y
CPL002017,Y
CPL002018,Y
CPL002027,Y
CPL002028,Y
CPL002042,Y
CPL002045,Y
CPL002046,Y
CPL002047,Y
CPL002056,Y
CPL002057,Y
CPL002059,Y
CPL002062,Y
CPL002064,N
CPL002069,N
CPL002070,N
CPL002077,Y
CPL002083,Y
CPL002090,N
CPL002096,Y
CPL002099,N
CPL002102,Y
CPL002105,Y
CPL002107,Y
CPL002111,Y
CPL002117,Y
CPL002118,Y
CPL002123,Y
CPL002125,Y
CPL002148,Y
CPL002152,Y
CPL002165,Y
CPL002167,N
CPL002168,N
CPL002172,Y
CPL002176,Y
CPL002183,Y
CPL002184,N
CPL002186,Y
CPL002192,Y
CPL002195,Y
CPL002208,Y
CPL002212,Y
CPL002240,Y
CPL002245,Y
CPL002253,Y
CPL002256,N
CPL002257,Y
CPL002264,Y
CPL002270,N
CPL002279,Y
CPL002286,N
CPL002294,Y
CPL002298,Y
CPL002306,Y
CPL002310,Y
CPL002311,Y
CPL002316,N
CPL002321,N
CPL002325,Y
CPL002326,Y
CPL002329,N
CPL002333,Y
CPL002339,N
CPL002344,Y
CPL002346,N
CPL002354,Y
CPL002355,Y
CPL002358,Y
CPL002360,Y
CPL002375,Y
CPL002376,Y
CPL002383,N
CPL002385,Y
CPL002389,Y
CPL002394,Y
CPL002397,Y
CPL002399,N
CPL002400,Y
CPL002402,N
CPL002412,Y
CPL002415,Y
CPL002417,Y
CPL002420,Y
CPL002425,Y
CPL002433,Y
CPL002440,Y
CPL002441,Y
CPL002442,Y
CPL002445,Y
CPL002450,N
CPL002471,N
CPL002476,N
CPL002482,Y
CPL002485,Y
CPL002495,N
CPL002496,N
CPL002523,Y
CPL002542,Y
CPL002550,N
CPL002551,N
CPL002553,Y
CPL002554,N
CPL002561,N
CPL002566,Y
CPL002568,Y
CPL002570,Y
CPL002572,Y
CPL002581,N
CPL002584,Y
CPL002592,Y
CPL002593,N
CPL002599,Y
CPL002604,Y
CPL002605,Y
CPL002609,N
CPL002610,N
CPL002612,Y
CPL002614,Y
CPL002630,Y
CPL002635,Y
CPL002639,Y
CPL002644,N
CPL002651,N
CPL002654,Y
CPL002657,N
CPL002711,Y
CPL002712,Y
CPL002721,N
CPL002735,Y
CPL002744,Y
CPL002745,N
CPL002746,Y
CPL002747,N
CPL002754,Y
CPL002759,Y
CPL002760,Y
CPL002766,N
CPL002769,Y
CPL002774,N
CPL002775,Y
CPL002781,Y
CPL002782,N
CPL002786,Y
CPL002790,Y
CPL002791,Y
CPL002793,Y
CPL002802,N
CPL002803,Y
CPL002805,Y
CPL002806,Y
CPL002816,Y
CPL002823,Y
CPL002825,Y
CPL002826,Y
CPL002843,Y
CPL002849,Y
CPL002850,Y
CPL002853,Y
CPL002856,N
CPL002857,Y
CPL002858,N
CPL002860,Y
CPL002867,N
CPL002869,Y
CPL002870,Y
CPL002876,Y
CPL002878,N
CPL002879,N
CPL002885,N
CPL002890,Y
CPL002891,Y
CPL002899,Y
CPL002901,Y
CPL002907,N
CPL002920,N
CPL002921,N
CPL002932,Y
CPL002935,Y
CPL002952,Y
CPL002954,N
CPL002962,Y
CPL002965,Y
CPL002969,Y
CPL002971,N
CPL002975,Y
CPL002980,Y
CPL002986,N
CPL002989,N
